地區,日期,天氣狀況,最高溫(˚C),最低溫(˚C)
北部地區,2026-04-19,晴時多雲,27,20
北部地區,2026-04-20,晴時多雲,30,18
北部地區,2026-04-21,晴時多雲,29,20
北部地區,2026-04-22,多雲午後短暫陣雨,29,21
北部地區,2026-04-23,多雲時陰短暫陣雨或雷雨,28,22
北部地區,2026-04-24,陰短暫陣雨,25,21
北部地區,2026-04-25,陰短暫陣雨,26,20
中部地區,2026-04-19,晴時多雲,30,21
中部地區,2026-04-20,晴時多雲,31,21
中部地區,2026-04-21,晴時多雲,31,22
中部地區,2026-04-22,晴午後短暫陣雨,31,21
中部地區,2026-04-23,多雲短暫陣雨或雷雨,29,22
中部地區,2026-04-24,陰短暫陣雨或雷雨,27,22
中部地區,2026-04-25,陰短暫陣雨或雷雨,25,21
南部地區,2026-04-19,晴午後短暫陣雨,32,23
南部地區,2026-04-20,晴午後短暫陣雨,32,23
南部地區,2026-04-21,晴時多雲,33,23
南部地區,2026-04-22,晴時多雲,32,23
南部地區,2026-04-23,多雲時陰短暫陣雨或雷雨,31,24
南部地區,2026-04-24,陰時多雲短暫陣雨或雷雨,30,23
南部地區,2026-04-25,陰短暫陣雨或雷雨,27,23
東北部地區,2026-04-19,多雲時陰,25,19
東北部地區,2026-04-20,晴時多雲,28,18
東北部地區,2026-04-21,多雲時陰短暫陣雨,25,20
東北部地區,2026-04-22,多雲,28,20
東北部地區,2026-04-23,多雲短暫陣雨或雷雨,27,22
東北部地區,2026-04-24,陰短暫陣雨,23,20
東北部地區,2026-04-25,陰時多雲短暫陣雨,24,20
東部地區,2026-04-19,陰天,25,22
東部地區,2026-04-20,晴時多雲,27,21
東部地區,2026-04-21,陰時多雲短暫陣雨,24,22
東部地區,2026-04-22,多雲時陰短暫陣雨,27,21
東部地區,2026-04-23,多雲時陰短暫陣雨或雷雨,28,23
東部地區,2026-04-24,陰短暫陣雨或雷雨,24,21
東部地區,2026-04-25,陰時多雲短暫陣雨或雷雨,23,21
東南部地區,2026-04-19,陰時多雲,29,23
東南部地區,2026-04-20,陰時多雲短暫陣雨,28,22
東南部地區,2026-04-21,陰短暫陣雨,28,23
東南部地區,2026-04-22,多雲短暫陣雨,29,22
東南部地區,2026-04-23,晴時多雲,32,23
東南部地區,2026-04-24,陰短暫陣雨或雷雨,28,23
東南部地區,2026-04-25,陰短暫陣雨或雷雨,27,22
